Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;71,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;20,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;23,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;17,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;85,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;59,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;34,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;16,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;6,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;33,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
